target,home,over_under_line,weather_temperature,weather_wind_mph,weather_humidity,fumbles_forced,interceptions,pass_yards_allowed,rush_yards_allowed,sacks,points_allowed,fumbles_forced_moving_avg_1,fumbles_forced_moving_max_1,fumbles_forced_moving_min_1,fumbles_forced_moving_avg_3,fumbles_forced_moving_max_3,fumbles_forced_moving_min_3,fumbles_forced_moving_avg_5,fumbles_forced_moving_max_5,fumbles_forced_moving_min_5,interceptions_moving_avg_1,interceptions_moving_max_1,interceptions_moving_min_1,interceptions_moving_avg_3,interceptions_moving_max_3,interceptions_moving_min_3,interceptions_moving_avg_5,interceptions_moving_max_5,interceptions_moving_min_5,pass_yards_allowed_moving_avg_1,pass_yards_allowed_moving_max_1,pass_yards_allowed_moving_min_1,pass_yards_allowed_moving_avg_3,pass_yards_allowed_moving_max_3,pass_yards_allowed_moving_min_3,pass_yards_allowed_moving_avg_5,pass_yards_allowed_moving_max_5,pass_yards_allowed_moving_min_5,rush_yards_allowed_moving_avg_1,rush_yards_allowed_moving_max_1,rush_yards_allowed_moving_min_1,rush_yards_allowed_moving_avg_3,rush_yards_allowed_moving_max_3,rush_yards_allowed_moving_min_3,rush_yards_allowed_moving_avg_5,rush_yards_allowed_moving_max_5,rush_yards_allowed_moving_min_5,sacks_moving_avg_1,sacks_moving_max_1,sacks_moving_min_1,sacks_moving_avg_3,sacks_moving_max_3,sacks_moving_min_3,sacks_moving_avg_5,sacks_moving_max_5,sacks_moving_min_5,points_allowed_moving_avg_1,points_allowed_moving_max_1,points_allowed_moving_min_1,points_allowed_moving_avg_3,points_allowed_moving_max_3,points_allowed_moving_min_3,points_allowed_moving_avg_5,points_allowed_moving_max_5,points_allowed_moving_min_5,inclement,fantpt_moving_avg_1,fantpt_moving_max_1,fantpt_moving_min_1,fantpt_moving_avg_3,fantpt_moving_max_3,fantpt_moving_min_3,fantpt_moving_avg_5,fantpt_moving_max_5,fantpt_moving_min_5,spread
30.8,0,41.0,72.0,0.0,,0,0,284,162,5,35,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,False,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,-6.5
6.1,0,45.0,90.0,5.0,67.0,0,0,291,106,3,28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.5,2.0,1.0,1.5,2.0,1.0,334.0,334.0,334.0,314.5,334.0,295.0,314.5,334.0,295.0,151.0,151.0,151.0,120.0,151.0,89.0,120.0,151.0,89.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,38.0,38.0,38.0,27.5,38.0,17.0,27.5,38.0,17.0,False,30.8,30.8,30.8,22.5,30.8,14.2,22.5,30.8,14.2,-3.0
15.4,1,43.5,63.0,1.0,57.0,1,1,250,110,1,12,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,0.0,235.0,235.0,235.0,338.0,497.0,235.0,338.0,497.0,235.0,133.0,133.0,133.0,98.0,133.0,58.0,98.0,133.0,58.0,1.0,1.0,1.0,2.3333333333333335,5.0,1.0,2.3333333333333335,5.0,1.0,30.0,30.0,30.0,22.333333333333332,30.0,7.0,22.333333333333332,30.0,7.0,False,6.099999999999998,6.1,6.1,17.033333333333335,30.8,6.1,17.033333333333335,30.8,6.1,-5.0
19.8,0,38.5,75.0,1.0,51.0,1,0,253,125,4,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,273.0,273.0,273.0,259.0,273.0,250.0,236.75,273.0,170.0,98.0,98.0,98.0,118.33333333333333,207.0,50.0,108.0,207.0,50.0,3.0,3.0,3.0,1.6666666666666667,3.0,0.0,1.5,3.0,0.0,16.0,16.0,16.0,24.0,31.0,16.0,25.75,31.0,16.0,False,15.4,15.4,15.4,17.433333333333334,30.8,6.1,16.625,30.8,6.1,3.0
8.5,1,43.0,66.0,1.0,45.0,0,1,326,154,1,31,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,246.0,246.0,246.0,266.3333333333333,365.0,188.0,239.8,365.0,164.0,48.0,48.0,48.0,57.333333333333336,81.0,43.0,86.6,143.0,43.0,3.0,3.0,3.0,2.0,3.0,1.0,2.2,3.0,1.0,10.0,10.0,10.0,16.0,24.0,10.0,14.0,24.0,7.0,False,19.800000000000004,19.8,19.8,13.766666666666666,19.8,6.1,17.259999999999998,30.8,6.1,-1.5
10.2,0,42.0,78.0,2.0,39.0,2,2,231,99,1,19,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.6,1.0,0.0,3.0,3.0,3.0,2.3333333333333335,3.0,1.0,1.8,3.0,0.0,189.0,189.0,189.0,312.0,406.0,189.0,273.0,406.0,43.0,76.0,76.0,76.0,78.66666666666667,141.0,19.0,89.8,141.0,19.0,2.0,2.0,2.0,4.666666666666667,6.0,2.0,4.0,6.0,2.0,3.0,3.0,3.0,18.666666666666668,27.0,3.0,17.0,27.0,3.0,False,8.500000000000004,8.5,8.5,14.566666666666665,19.8,8.5,16.119999999999997,30.8,6.1,3.0
10.3,1,47.0,52.0,1.0,34.0,0,0,218,195,3,26,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.8,2.0,0.0,201.0,201.0,201.0,201.0,246.0,156.0,248.4,476.0,156.0,108.0,108.0,108.0,111.33333333333333,113.0,108.0,111.0,174.0,47.0,3.0,3.0,3.0,2.3333333333333335,3.0,1.0,1.6,3.0,0.0,17.0,17.0,17.0,16.666666666666668,24.0,9.0,18.8,31.0,9.0,False,10.200000000000003,10.2,10.2,12.83333333333333,19.8,8.5,12.0,19.8,6.1,-3.0
15.4,0,43.5,52.0,3.0,67.0,0,0,333,260,1,59,1.0,1.0,1.0,2.0,3.0,1.0,1.6,3.0,1.0,1.0,1.0,1.0,1.6666666666666667,4.0,0.0,1.4,4.0,0.0,212.0,212.0,212.0,266.6666666666667,307.0,212.0,268.6,307.0,212.0,102.0,102.0,102.0,112.66666666666667,170.0,66.0,121.0,170.0,66.0,1.0,1.0,1.0,2.0,4.0,1.0,2.2,4.0,1.0,37.0,37.0,37.0,26.0,37.0,14.0,20.6,37.0,12.0,False,10.300000000000004,10.3,10.3,9.666666666666666,10.3,8.5,12.84,19.8,8.5,-3.5
20.0,1,48.0,45.0,7.0,68.0,2,0,258,148,3,27,0.0,0.0,0.0,1.0,2.0,0.0,1.2,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,327.0,327.0,327.0,222.0,327.0,113.0,235.0,327.0,113.0,100.0,100.0,100.0,63.333333333333336,100.0,41.0,55.6,100.0,24.0,0.0,0.0,0.0,1.0,3.0,0.0,1.6,3.0,0.0,33.0,33.0,33.0,25.0,35.0,7.0,21.0,35.0,7.0,False,15.400000000000002,15.4,15.4,11.966666666666667,15.4,10.2,12.84,19.8,8.5,-3.5
12.0,0,43.0,45.0,1.0,57.0,0,1,333,105,4,26,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.6,3.0,0.0,187.0,187.0,187.0,218.66666666666666,299.0,170.0,219.6,299.0,170.0,39.0,39.0,39.0,51.666666666666664,70.0,39.0,77.4,121.0,39.0,6.0,6.0,6.0,2.6666666666666665,6.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,10.666666666666666,19.0,0.0,14.4,23.0,0.0,False,20.000000000000007,20.0,20.0,15.233333333333334,20.0,10.3,12.88,20.0,8.5,-3.5
25.0,1,49.5,37.0,5.0,55.0,0,1,302,115,1,34,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,3.0,3.0,3.0,1.3333333333333333,3.0,0.0,1.0,3.0,0.0,138.0,138.0,138.0,265.0,342.0,138.0,271.6,342.0,138.0,24.0,24.0,24.0,97.33333333333333,165.0,24.0,95.2,165.0,24.0,1.0,1.0,1.0,2.0,3.0,1.0,1.6,3.0,1.0,0.0,0.0,0.0,20.333333333333332,31.0,0.0,24.0,31.0,0.0,False,12.000000000000007,12.0,12.0,15.800000000000002,20.0,12.0,13.580000000000002,20.0,10.2,-8.0
15.3,0,51.0,72.0,0.0,,0,2,270,171,2,30,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,4.0,4.0,4.0,2.0,4.0,1.0,1.6,4.0,0.0,365.0,365.0,365.0,335.3333333333333,365.0,289.0,333.6,373.0,289.0,40.0,40.0,40.0,65.33333333333333,81.0,40.0,88.2,138.0,40.0,0.0,0.0,0.0,1.6666666666666667,3.0,0.0,1.2,3.0,0.0,35.0,35.0,35.0,28.0,35.0,19.0,29.8,45.0,19.0,False,25.000000000000007,25.0,25.0,19.000000000000004,25.0,12.0,16.54,25.0,10.3,-4.0
7.7,0,47.0,33.0,6.0,58.0,2,1,242,197,3,38,0.0,0.0,0.0,1.6666666666666667,4.0,0.0,1.4,4.0,0.0,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,1.0,2.0,0.0,126.0,126.0,126.0,194.66666666666666,296.0,126.0,233.8,327.0,126.0,61.0,61.0,61.0,114.0,207.0,61.0,118.0,207.0,61.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0.0,3.0,3.0,3.0,10.0,20.0,3.0,18.0,33.0,3.0,False,15.300000000000011,15.3,15.3,17.433333333333337,25.0,12.0,17.54,25.0,12.0,3.0
8.5,1,44.5,37.0,1.0,46.0,2,1,263,107,6,14,0.0,0.0,0.0,1.3333333333333333,4.0,0.0,0.8,4.0,0.0,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,1.0,2.0,0.0,194.0,194.0,194.0,179.66666666666666,194.0,158.0,211.2,306.0,158.0,104.0,104.0,104.0,133.66666666666666,213.0,84.0,104.2,213.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,40.0,40.0,40.0,25.0,40.0,14.0,23.8,40.0,13.0,False,7.70000000000001,7.7,7.7,16.000000000000004,25.0,7.7,16.0,25.0,7.7,-14.5
25.7,0,44.5,72.0,0.0,,1,0,187,236,3,31,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.2,2.0,0.0,192.0,192.0,192.0,216.33333333333334,273.0,184.0,203.6,273.0,148.0,141.0,141.0,141.0,145.33333333333334,210.0,85.0,134.6,210.0,85.0,0.0,0.0,0.0,2.3333333333333335,4.0,0.0,2.4,4.0,0.0,16.0,16.0,16.0,20.0,27.0,16.0,19.4,31.0,6.0,False,8.50000000000001,8.5,8.5,10.500000000000005,15.3,7.7,13.7,25.0,7.7,-4.0
23.6,0,49.5,72.0,0.0,,2,1,314,133,0,31,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,1.2,2.0,0.0,312.0,312.0,312.0,286.6666666666667,366.0,182.0,263.2,366.0,154.0,88.0,88.0,88.0,107.0,137.0,88.0,96.8,137.0,72.0,5.0,5.0,5.0,3.3333333333333335,5.0,2.0,2.6,5.0,1.0,30.0,30.0,30.0,29.333333333333332,48.0,10.0,24.6,48.0,10.0,False,25.70000000000001,25.7,25.7,13.966666666666674,25.7,7.7,16.44,25.7,7.7,-2.5
20.1,1,46.5,79.0,5.0,79.0,0,3,211,177,2,16,2.0,2.0,2.0,1.0,2.0,0.0,1.4,3.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,331.0,331.0,331.0,304.0,331.0,276.0,330.4,404.0,276.0,59.0,59.0,59.0,72.0,83.0,59.0,80.4,119.0,59.0,2.0,2.0,2.0,2.6666666666666665,4.0,2.0,2.4,4.0,2.0,16.0,16.0,16.0,20.333333333333332,28.0,16.0,24.0,45.0,14.0,False,23.600000000000012,23.6,23.6,19.266666666666676,25.7,8.5,16.160000000000004,25.7,7.7,-8.0
11.2,1,43.5,54.0,2.0,78.0,2,1,416,108,2,23,1.0,1.0,1.0,1.0,2.0,0.0,0.8,2.0,0.0,2.0,2.0,2.0,1.6666666666666667,2.0,1.0,1.4,2.0,0.0,157.0,157.0,157.0,262.0,432.0,157.0,264.0,432.0,157.0,79.0,79.0,79.0,62.666666666666664,79.0,45.0,65.2,79.0,45.0,1.0,1.0,1.0,2.3333333333333335,5.0,1.0,2.8,6.0,1.0,8.0,8.0,8.0,17.333333333333332,27.0,8.0,16.8,27.0,7.0,True,20.100000000000016,20.1,20.1,23.133333333333344,25.7,20.1,17.12,25.7,7.7,-10.0
16.7,0,53.0,75.0,6.0,47.0,1,4,315,174,0,24,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.6,2.0,0.0,2.0,2.0,2.0,2.3333333333333335,4.0,1.0,1.8,4.0,1.0,298.0,298.0,298.0,336.0,387.0,298.0,249.2,387.0,119.0,171.0,171.0,171.0,136.66666666666666,171.0,108.0,158.8,276.0,108.0,2.0,2.0,2.0,0.6666666666666666,2.0,0.0,1.0,2.0,0.0,23.0,23.0,23.0,29.666666666666668,35.0,23.0,26.8,38.0,7.0,False,11.200000000000014,11.2,11.2,18.30000000000001,23.6,11.2,17.82,25.7,8.5,-3.0
19.9,0,46.5,69.0,7.0,26.0,0,2,237,192,2,20,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.8,1.0,0.0,164.0,164.0,164.0,223.33333333333334,255.0,164.0,236.2,268.0,164.0,45.0,45.0,45.0,87.66666666666667,125.0,45.0,84.0,125.0,45.0,7.0,7.0,7.0,3.6666666666666665,7.0,1.0,3.0,7.0,0.0,10.0,10.0,10.0,16.333333333333332,21.0,10.0,16.0,21.0,10.0,False,16.700000000000014,16.7,16.7,16.00000000000001,20.1,11.2,19.46,25.7,11.2,-3.0
32.0,1,49.5,42.0,5.0,64.0,0,0,279,239,4,34,1.0,1.0,1.0,1.0,2.0,0.0,0.8,2.0,0.0,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,1.2,2.0,1.0,196.0,196.0,196.0,241.66666666666666,289.0,196.0,230.8,289.0,179.0,70.0,70.0,70.0,78.0,101.0,63.0,74.6,101.0,63.0,1.0,1.0,1.0,1.3333333333333333,3.0,0.0,2.6,6.0,0.0,7.0,7.0,7.0,20.333333333333332,34.0,7.0,20.2,34.0,7.0,False,19.90000000000001,19.9,19.9,15.933333333333344,19.9,11.2,18.300000000000004,23.6,11.2,-3.0
17.7,1,47.5,51.0,2.0,74.0,1,1,213,119,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,4.0,4.0,4.0,1.6666666666666667,4.0,0.0,1.4,4.0,0.0,264.0,264.0,264.0,253.0,276.0,219.0,286.0,374.0,219.0,30.0,30.0,30.0,88.0,181.0,30.0,106.6,181.0,30.0,1.0,1.0,1.0,2.3333333333333335,5.0,1.0,1.8,5.0,0.0,18.0,18.0,18.0,17.333333333333332,24.0,10.0,21.6,29.0,10.0,False,32.00000000000001,32.0,32.0,22.866666666666678,32.0,16.7,19.98,32.0,11.2,-8.0
15.3,1,47.5,61.0,1.0,40.0,0,2,128,166,2,17,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.8,2.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.4,1.0,0.0,255.0,255.0,255.0,317.3333333333333,361.0,255.0,288.4,361.0,169.0,150.0,150.0,150.0,116.0,150.0,91.0,114.8,172.0,54.0,4.0,4.0,4.0,3.0,4.0,2.0,2.2,4.0,1.0,13.0,13.0,13.0,25.0,32.0,13.0,28.0,34.0,13.0,False,17.700000000000003,17.7,17.7,23.200000000000014,32.0,17.7,19.5,32.0,11.2,-13.0
11.5,0,45.5,58.0,1.0,66.0,0,3,258,136,1,17,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,0.8,2.0,0.0,1.0,1.0,1.0,1.3333333333333333,2.0,1.0,1.4,2.0,1.0,242.0,242.0,242.0,240.66666666666666,342.0,138.0,256.2,342.0,138.0,77.0,77.0,77.0,109.33333333333333,145.0,77.0,125.6,155.0,77.0,2.0,2.0,2.0,3.0,5.0,2.0,3.6,6.0,2.0,27.0,27.0,27.0,21.333333333333332,27.0,17.0,24.8,36.0,17.0,False,15.3,15.3,15.3,21.666666666666675,32.0,15.3,20.32,32.0,15.3,6.0
12.1,1,50.5,63.0,1.0,56.0,0,1,400,73,2,20,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,3.0,3.0,3.0,2.0,3.0,1.0,1.6,3.0,1.0,230.0,230.0,230.0,262.0,306.0,230.0,293.6,365.0,230.0,125.0,125.0,125.0,115.33333333333333,125.0,110.0,104.2,125.0,77.0,3.0,3.0,3.0,2.6666666666666665,5.0,0.0,3.0,5.0,0.0,3.0,3.0,3.0,14.333333333333334,24.0,3.0,16.8,25.0,3.0,False,11.5,11.5,11.5,14.833333333333343,17.7,11.5,19.279999999999998,32.0,11.5,3.5
25.3,0,43.5,39.0,2.0,,0,4,208,132,2,14,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.3333333333333333,2.0,1.0,1.2,2.0,0.0,314.0,314.0,314.0,250.33333333333334,314.0,181.0,239.6,314.0,168.0,110.0,110.0,110.0,75.66666666666667,110.0,42.0,96.4,163.0,42.0,1.0,1.0,1.0,2.3333333333333335,5.0,1.0,1.6,5.0,0.0,23.0,23.0,23.0,15.666666666666666,23.0,7.0,20.8,34.0,7.0,False,12.100000000000001,12.1,12.1,12.966666666666677,15.3,11.5,17.72,32.0,11.5,-3.0
19.1,0,44.5,78.0,1.0,83.0,1,1,208,51,4,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.6666666666666667,2.0,1.0,1.4,2.0,0.0,273.0,273.0,273.0,238.0,273.0,215.0,236.4,273.0,215.0,46.0,46.0,46.0,57.333333333333336,85.0,41.0,69.8,116.0,41.0,2.0,2.0,2.0,1.6666666666666667,2.0,1.0,2.6,5.0,1.0,14.0,14.0,14.0,14.0,20.0,8.0,10.8,20.0,3.0,False,25.300000000000004,25.3,25.3,16.30000000000001,25.3,11.5,16.38,25.3,11.5,3.0
25.7,1,44.0,35.0,9.0,41.0,3,1,274,160,3,45,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,0.6,2.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.4,1.0,0.0,195.0,195.0,195.0,226.66666666666666,264.0,195.0,222.6,329.0,104.0,65.0,65.0,65.0,83.66666666666667,100.0,65.0,87.2,125.0,60.0,5.0,5.0,5.0,3.3333333333333335,5.0,2.0,2.2,5.0,0.0,10.0,10.0,10.0,17.666666666666668,24.0,10.0,21.4,37.0,10.0,False,19.100000000000005,19.1,19.1,18.833333333333343,25.3,12.1,16.66,25.3,11.5,-3.0
4.5,0,50.0,72.0,0.0,,1,0,293,105,2,20,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,148.0,148.0,148.0,265.0,400.0,148.0,275.0,400.0,148.0,58.0,58.0,58.0,90.33333333333333,110.0,58.0,84.0,110.0,58.0,3.0,3.0,3.0,2.6666666666666665,5.0,0.0,3.0,5.0,0.0,15.0,15.0,15.0,23.666666666666668,37.0,15.0,22.8,37.0,15.0,False,25.700000000000003,25.7,25.7,23.366666666666678,25.7,19.1,18.740000000000002,25.7,11.5,-2.5
11.6,0,42.0,68.0,9.0,57.0,1,4,317,150,2,17,2.0,2.0,2.0,0.6666666666666666,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,221.0,221.0,221.0,222.0,313.0,132.0,220.8,313.0,132.0,161.0,161.0,161.0,132.33333333333334,162.0,74.0,166.8,290.0,74.0,2.0,2.0,2.0,2.3333333333333335,4.0,1.0,2.0,4.0,1.0,13.0,13.0,13.0,17.666666666666668,20.0,13.0,18.2,24.0,13.0,False,4.5000000000000036,4.5,4.5,16.433333333333348,25.7,4.5,17.34,25.7,4.5,-9.5
12.9,1,47.0,74.0,5.0,40.0,2,2,371,129,2,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.2,3.0,0.0,221.0,221.0,221.0,249.0,287.0,221.0,232.6,287.0,184.0,129.0,129.0,129.0,106.0,129.0,93.0,110.8,131.0,93.0,4.0,4.0,4.0,2.3333333333333335,4.0,1.0,1.6,4.0,0.0,13.0,13.0,13.0,23.333333333333332,34.0,13.0,19.8,34.0,13.0,False,11.600000000000001,11.6,11.6,13.933333333333346,25.7,4.5,17.240000000000002,25.7,4.5,-3.0
7.8,0,42.0,72.0,0.0,,3,0,217,113,5,6,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.8,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,316.0,316.0,316.0,230.33333333333334,316.0,153.0,214.2,316.0,153.0,90.0,90.0,90.0,127.66666666666667,178.0,90.0,133.6,178.0,90.0,4.0,4.0,4.0,3.6666666666666665,4.0,3.0,3.0,4.0,2.0,18.0,18.0,18.0,18.0,20.0,16.0,18.8,23.0,16.0,False,12.9,12.9,12.9,9.66666666666668,12.9,4.5,14.760000000000002,25.7,4.5,-3.0
14.0,1,46.5,63.0,8.0,59.0,0,0,241,191,2,19,2.0,2.0,2.0,0.6666666666666666,2.0,0.0,1.4,3.0,0.0,3.0,3.0,3.0,2.0,3.0,1.0,1.4,3.0,0.0,288.0,288.0,288.0,279.3333333333333,307.0,243.0,259.6,307.0,196.0,60.0,60.0,60.0,94.0,143.0,60.0,115.8,150.0,60.0,2.0,2.0,2.0,2.0,2.0,2.0,2.6,4.0,2.0,7.0,7.0,7.0,21.666666666666668,34.0,7.0,20.4,34.0,7.0,True,7.799999999999999,7.8,7.8,10.76666666666668,12.9,7.8,12.500000000000002,25.7,4.5,-1.5
14.0,0,44.0,48.0,7.0,68.0,2,0,175,78,3,14,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.4,1.0,0.0,209.0,209.0,209.0,200.0,253.0,138.0,218.6,316.0,138.0,119.0,119.0,119.0,101.0,119.0,90.0,101.2,131.0,72.0,1.0,1.0,1.0,1.6666666666666667,2.0,1.0,1.4,2.0,0.0,34.0,34.0,34.0,25.0,34.0,10.0,22.6,34.0,9.0,True,13.999999999999996,14.0,14.0,11.566666666666679,14.0,7.8,10.16,14.0,4.5,4.0
10.8,1,47.5,73.0,14.0,58.0,1,2,311,71,3,23,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,111.0,111.0,238.33333333333334,378.0,111.0,275.8,466.0,111.0,127.0,127.0,127.0,111.33333333333333,148.0,59.0,115.6,167.0,59.0,2.0,2.0,2.0,1.6666666666666667,3.0,0.0,2.2,4.0,0.0,20.0,20.0,20.0,30.333333333333332,44.0,20.0,31.8,45.0,20.0,False,13.999999999999996,14.0,14.0,11.933333333333346,14.0,7.8,12.059999999999999,14.0,7.8,-3.5
18.7,1,43.0,58.0,13.0,75.0,0,0,191,92,3,17,2.0,2.0,2.0,1.0,2.0,0.0,1.2,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.6,3.0,0.0,353.0,353.0,353.0,256.6666666666667,353.0,202.0,236.8,353.0,173.0,149.0,149.0,149.0,159.0,199.0,129.0,142.2,199.0,116.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6,3.0,1.0,20.0,20.0,20.0,21.666666666666668,28.0,17.0,17.8,28.0,3.0,True,10.799999999999997,10.8,10.8,12.933333333333346,14.0,10.8,11.899999999999999,14.0,7.8,-3.0
13.3,0,52.0,72.0,0.0,,1,1,272,221,7,13,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.6,1.0,0.0,305.0,305.0,305.0,359.6666666666667,420.0,305.0,329.2,420.0,248.0,225.0,225.0,225.0,148.0,225.0,102.0,163.8,273.0,102.0,0.0,0.0,0.0,2.3333333333333335,5.0,0.0,2.0,5.0,0.0,34.0,34.0,34.0,28.666666666666668,34.0,24.0,28.2,34.0,24.0,False,18.699999999999996,18.7,18.7,14.500000000000014,18.7,10.8,13.059999999999997,18.7,7.8,3.0
10.2,1,44.5,63.0,7.0,45.0,1,1,289,91,2,23,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.4,1.0,0.0,342.0,342.0,342.0,255.66666666666666,342.0,192.0,255.2,342.0,192.0,123.0,123.0,123.0,112.66666666666667,123.0,103.0,103.4,123.0,86.0,3.0,3.0,3.0,2.0,3.0,1.0,1.8,3.0,1.0,19.0,19.0,19.0,20.666666666666668,29.0,14.0,25.4,34.0,14.0,False,13.299999999999997,13.3,13.3,14.26666666666668,18.7,10.8,14.159999999999997,18.7,10.8,2.5
9.2,0,46.0,52.0,9.0,55.0,1,2,204,80,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,1.0,2.0,0.0,201.0,201.0,201.0,253.33333333333334,337.0,201.0,291.4,352.0,201.0,129.0,129.0,129.0,111.0,140.0,64.0,102.0,140.0,64.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.4,4.0,0.0,21.0,21.0,21.0,25.0,27.0,21.0,25.0,27.0,21.0,False,10.199999999999996,10.2,10.2,14.066666666666682,18.7,10.2,13.399999999999997,18.7,10.2,3.5
12.2,1,46.0,44.0,9.0,52.0,1,1,345,90,5,20,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.6,1.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.4,2.0,0.0,244.0,244.0,244.0,235.33333333333334,280.0,182.0,270.2,441.0,182.0,58.0,58.0,58.0,120.33333333333333,186.0,58.0,95.2,186.0,35.0,2.0,2.0,2.0,1.6666666666666667,2.0,1.0,2.2,4.0,1.0,21.0,21.0,21.0,21.666666666666668,28.0,16.0,20.4,31.0,6.0,False,9.199999999999996,9.2,9.2,10.900000000000015,13.3,9.2,12.439999999999998,18.7,9.2,6.0
