G#,Date,Tm,home/away,Opp,Result,Pos,FantPt,played
1,9/12/10,NWE,,CIN,W 38-24,QB,22.32,1
2,9/19/10,NWE,@,NYJ,L 14-28,QB,11.92,1
3,9/26/10,NWE,,BUF,W 38-30,QB,22.68,1
4,10/4/10,NWE,@,MIA,W 41-14,QB,10.72,1
5,10/17/10,NWE,,BAL,W 23-20,QB,11.78,1
6,10/24/10,NWE,@,SDG,W 23-20,QB,10.46,1
7,10/31/10,NWE,,MIN,W 28-18,QB,13.3,1
8,11/7/10,NWE,@,CLE,L 14-34,QB,23.06,1
9,11/14/10,NWE,@,PIT,W 39-26,QB,26.3,1
10,11/21/10,NWE,,IND,W 31-28,QB,15.24,1
11,11/25/10,NWE,@,DET,W 45-24,QB,29.74,1
12,12/6/10,NWE,,NYJ,W 45-3,QB,29.34,1
13,12/12/10,NWE,@,CHI,W 36-7,QB,22.76,1
14,12/19/10,NWE,,GNB,W 31-27,QB,14.52,1
15,12/26/10,NWE,@,BUF,W 34-3,QB,18.9,1
16,1/2/11,NWE,,MIA,W 38-7,QB,15.96,1
1,9/12/11,NWE,@,MIA,W 38-24,QB,34.98,1
2,9/18/11,NWE,,SDG,W 35-21,QB,29.22,1
3,9/25/11,NWE,@,BUF,L 31-34,QB,23.98,1
4,10/2/11,NWE,@,OAK,W 31-19,QB,16.94,1
5,10/9/11,NWE,,NYJ,W 30-21,QB,15.14,1
6,10/16/11,NWE,,DAL,W 20-16,QB,17.26,1
7,10/30/11,NWE,@,PIT,L 17-25,QB,15.92,1
8,11/6/11,NWE,,NYG,L 20-24,QB,16.18,1
9,11/13/11,NWE,@,NYJ,W 37-16,QB,25.36,1
10,11/21/11,NWE,,KAN,W 34-3,QB,16.36,1
11,11/27/11,NWE,@,PHI,W 38-20,QB,29.24,1
12,12/4/11,NWE,,IND,W 31-24,QB,20.26,1
13,12/11/11,NWE,@,WAS,W 34-27,QB,25.08,1
14,12/18/11,NWE,@,DEN,W 41-23,QB,27,1
15,12/24/11,NWE,,MIA,W 27-24,QB,29.86,1
16,1/1/12,NWE,,BUF,W 49-21,QB,23.52,1
1,9/9/12,NWE,@,TEN,W 34-13,QB,17.54,1
2,9/16/12,NWE,,ARI,L 18-20,QB,14.54,1
3,9/23/12,NWE,@,BAL,L 30-31,QB,18.1,1
4,9/30/12,NWE,@,BUF,W 52-28,QB,32,1
5,10/7/12,NWE,,DEN,W 31-21,QB,18.72,1
6,10/14/12,NWE,@,SEA,L 23-24,QB,19.8,1
7,10/21/12,NWE,,NYJ,W 29-26,QB,18.36,1
8,10/28/12,NWE,@,STL,W 45-7,QB,28.46,1
9,11/11/12,NWE,,BUF,W 37-31,QB,17.38,1
10,11/18/12,NWE,,IND,W 59-24,QB,25.24,1
11,11/22/12,NWE,@,NYJ,W 49-19,QB,31.42,1
12,12/2/12,NWE,@,MIA,W 23-16,QB,11.42,1
13,12/10/12,NWE,,HOU,W 42-14,QB,28.44,1
14,12/16/12,NWE,,SFO,L 34-41,QB,24.82,1
15,12/23/12,NWE,@,JAX,W 23-16,QB,14.68,1
16,12/30/12,NWE,,MIA,W 28-0,QB,19.36,1